Run	Gage	A	B	C	D	E	F	DIF	Sint	Gint	Aint	RMSE	ABCD	SqMi	Nash	RMSE	Lat	Long
202	1605500	0.9902	425.2	0.075	0.412	1.000	-2.98	3.80	8.11	131.70	192.31	10.87	0	179.091995	0.838699781	10.99525878	38.52434	-79.4592
203	1606000	0.9885	232.5	0.099	0.293	0.169	-5.69	0.00	170.72	63.52	28.21	14.77	0	310.805999	0.846320184	14.80447014	38.75934	-79.46272
204	1606500	0.9893	322.0	0.106	0.114	0.975	-5.09	1.30	261.10	1.00	24.95	10.27	0	650.405029	0.870863412	10.24086601	38.69848	-79.41865
206	1610155	0.9850	244.5	0.136	0.165	0.808	-0.52	0.76	198.63	1.15	9.55	12.28	0	102.768997	0.853491404	11.85579784	39.78048	-78.34892
207	1611500	0.9915	282.4	0.178	0.057	0.695	-2.49	2.87	226.32	62.17	1.01	8.40	0	675.091979	0.876178534	8.384413058	39.15763	-78.62861
208	1613050	0.9890	231.0	0.004	0.136	0.741	-3.43	3.73	154.31	9.21	33.79	14.21	0	10.771499	0.851368295	13.44007478	39.92325	-78.16783
209	1613095	0.9907	211.4	0.088	0.028	0.908	-0.85	7.73	112.22	55.94	49.92	10.67	0	112.960998	0.874381638	10.18916344	39.8295	-78.19242
210	1613525	0.9867	219.0	0.378	0.254	0.655	-0.27	2.66	197.62	1.00	10.64	14.56	0	193.869995	0.76971847	14.3595376	39.88726	-78.04192
211	1613900	0.9945	322.6	0.000	0.705	0.00	0.00	0.00	1.000	86.08	0.00	11.72	1	16.014499	0.865255743	11.44955115	39.19205	-78.32928
212	1614000	0.9919	302.1	0.218	0.036	0.823	-1.16	0.47	261.57	7.12	1.00	9.62	0	234.507003	0.87596145	9.529632463	39.32047	-78.24111
214	1620500	0.9680	144.2	0.000	0.652	0.726	-3.74	1.93	78.84	134.43	1.00	20.81	0	17.2742	0.799537544	19.77667796	38.39021	-79.27884
215	1630700	0.9957	382.8	0.237	0.075	0.00	0.00	0.00	351.770	200.00	0.00	14.50	1	22.685199	0.641021399	15.58600378	38.79995	-78.23022
216	1632000	0.9952	257.5	0.338	0.863	1.000	-4.71	0.37	196.00	1.01	54.15	13.22	0	209.789993	0.767174937	12.83793496	38.70096	-78.96177
217	1632900	0.9871	392.7	0.044	0.249	0.00	0.00	0.00	128.809	119.59	0.00	6.64	1	94.612998	0.8370074	6.660895807	38.54203	-78.72898
218	1634500	0.9873	297.9	0.001	0.051	0.682	-1.82	2.27	170.83	60.42	55.83	10.02	0	101.924003	0.85263103	10.11149595	39.06883	-78.45002
219	1635090	0.9902	303.9	0.198	0.214	0.995	-2.79	0.95	269.34	21.43	1.88	9.11	0	153.490005	0.741660651	9.462010705	39.06814	-78.40711
222	1636690	0.9846	455.7	0.211	0.012	0.561	1.32	7.69	387.47	51.43	1.00	9.62	0	13.669899	0.842437978	9.591870248	39.26949	-77.73239
223	1638480	0.9945	422.8	0.277	0.493	0.001	0.71	8.95	23.61	142.32	42.66	14.40	0	89.573501	0.733595421	14.85159601	39.2001	-77.67471
224	1639500	0.9743	360.2	0.216	0.000	0.00	0.00	0.00	319.414	71.13	0.00	10.55	1	103.157997	0.752459334	10.63633989	39.64552	-77.05217
228	1643395	0.9875	502.0	0.152	0.181	0.00	0.00	0.00	1.000	200.00	0.00	13.74	1	1.278419	0.648524836	13.7939969	39.26016	-77.29631
229	1643700	0.9927	487.7	0.000	0.340	0.00	0.00	0.00	82.804	136.91	0.00	10.92	1	121.666999	0.884390207	10.79721577	38.94963	-77.92361
230	1644000	0.9914	476.3	0.260	0.022	0.469	-0.63	0.00	443.48	1.00	12.34	10.16	0	331.726013	0.819012613	11.46549328	38.9927	-77.80382
232	1656500	0.9872	388.6	0.016	0.044	0.00	0.00	0.00	277.495	200.00	0.00	11.21	1	50.451499	0.873988925	11.69273641	38.82814	-77.75336
233	1658500	0.9907	407.4	0.000	0.979	0.00	0.00	0.00	1.162	77.77	0.00	15.43	1	7.46805	0.698058865	15.56168461	38.61188	-77.44757
237	1661050	0.9917	698.6	0.263	1.000	0.00	0.00	0.00	616.883	1.00	0.00	9.35	1	18.4766	0.804069878	9.891543154	38.37459	-76.7102
238	1661800	0.9838	410.5	0.334	0.177	0.00	0.00	0.00	165.051	109.05	0.00	9.62	1	7.221199	0.839628587	9.766544005	37.87847	-76.52232
239	1662000	0.9872	431.1	0.112	0.330	0.00	0.00	0.00	270.360	1.00	0.00	11.16	1	195.401992	0.874514741	11.23920988	38.79087	-78.00035
241	1662800	0.9904	393.1	0.001	0.222	0.00	0.00	0.00	2.037	200.00	0.00	11.36	1	25.7348	0.793659152	11.18699805	38.71036	-78.09417
242	1663500	0.9774	352.5	0.000	1.000	0.00	0.00	0.00	256.224	40.51	0.00	15.53	1	285.449005	0.692428952	15.22441796	38.62864	-78.17993
