year,month,precip,TMAX,TMIN,TAVG,ET,DIF
2012,12,92.14,5.08,-5.36,-0.14,41.06,10.4474193548387
2013,1,153.94,0.8,-9.73,-4.47,21.05,10.5325806451613
2013,2,98.14,4.89,-4.58,0.15,20.65,9.475
2013,3,57.16,7.05,-3.62,1.72,22.84,10.6616129032258
2013,4,60.07,15.64,1.19,8.42,42.06,14.4496666666667
2013,5,86.24,21.88,8.59,15.24,78.43,13.2912903225806
2013,6,99.28,25.36,11.84,18.6,87.16,13.5203333333333
2013,7,57.64,29.03,15.95,22.49,125.48,13.0803225806452
2013,8,50.71,27.91,15.18,21.55,152.24,12.7283870967742
2013,9,92.87,23.14,10.98,17.06,141.16,12.162
2013,10,61.9,17.78,3.93,10.86,129.31,13.8483870967742
2013,11,129.94,10.61,-0.14,5.23,84.89,10.7576666666667
2013,12,107.17,3.96,-6.37,-1.21,48.73,10.3348387096774
2014,1,20.69,-1.31,-14.78,-8.04,25.76,13.47
2014,2,49.57,3.66,-9.74,-3.04,26.28,13.3928571428571
2014,3,121.88,9.82,-2.25,3.78,28.01,12.07
2014,4,68.45,13.63,1.14,7.39,31.9,12.4866666666667
2014,5,126.89,21.99,7.21,14.6,52.56,14.7741935483871
2014,6,66.9,25.18,12.77,18.98,84.38,12.4133333333333
2014,7,97.25,28.9,15.98,22.44,94.18,12.9190322580645
2014,8,137.95,26.61,12.82,19.71,119.95,13.788064516129
2014,9,215.62,22.31,10.85,16.58,126.23,11.462
2014,10,231.34,15.85,3,9.43,113.32,12.8509677419355
2014,11,59.73,9.57,-1.17,4.2,87.42,10.74
2014,12,87.54,2.34,-8.18,-2.92,54.21,10.5177419354839
2015,1,22.18,3.63,-7.31,-1.84,48.24,10.9448387096774
2015,2,27.24,4.07,-10.17,-3.05,40.03,14.235
2015,3,64.23,5.22,-6.05,-0.42,28.39,11.2703225806452
2015,4,86.25,13.57,1.21,7.39,33.09,12.3656666666667
2015,5,184.43,21.68,8.32,15,42.96,13.3545161290323
2015,6,94.86,24.88,12.53,18.7,54.14,12.354
2015,7,43.32,27.84,13.17,20.5,95.53,14.6674193548387
2015,8,170.7,26.86,14.56,20.71,87.94,12.2983870967742
2015,9,72.86,21.79,8.67,15.23,103.03,13.1206666666667
2015,10,52.1,15.99,3.12,9.55,106.42,12.8693548387097
2015,11,100.3,6.59,-3.9,1.35,72.01,10.4896666666667
2015,12,83.4,-0.7,-12.86,-6.78,46.6,12.1567741935484
2016,1,21.75,1.92,-12.34,-5.21,53.4,14.2603225806452
2016,2,62.96,2.82,-10.02,-3.6,46.47,12.8332142857143
2016,3,122.17,9.27,-1.56,3.86,51.28,10.8329032258065
2016,4,76.98,15.57,2.08,8.82,47.58,13.4963333333333
2016,5,68.45,20.2,6.11,13.16,43.41,14.0906451612903
2016,6,57.02,24.68,10.21,17.45,48.05,14.4676666666667
2016,7,8.92,31.08,15.44,23.26,68.52,15.6367741935484
2016,8,9.77,28.9,12.63,20.77,101.32,16.2767741935484
2016,9,186.24,21.49,9.97,15.73,74.11,11.5213333333333
2016,10,106.75,16.33,2.76,9.55,86.74,13.5690322580645
2016,11,42.28,11.42,-0.87,5.28,87.74,12.293
2016,12,56.17,4.01,-5.69,-0.84,61.32,9.69483870967742
2017,1,53.29,-2.31,-13.32,-7.82,40.18,11.0138709677419
2017,2,17.21,3.05,-7.83,-2.39,57.11,10.8778571428571
2017,3,59.21,7.81,-3.75,2.03,61.59,11.5558064516129
2017,4,158.43,13.7,2.31,8.01,62.65,11.3883333333333
2017,5,171.21,18.76,6.43,12.6,51.94,12.3396774193548
2017,6,86.22,24.08,11.02,17.55,47.73,13.064
2017,7,103.46,27.74,15.69,21.72,49.17,12.0529032258065
2017,8,78.84,27.66,15.13,21.4,58.57,12.5370967741935
2017,9,25.94,25.21,12.58,18.89,84.92,12.6286666666667
2017,10,104.95,16.34,3.71,10.02,64.38,12.6248387096774
2017,11,152.97,9.6,-1.3,4.15,62.39,10.9006666666667
2017,12,13.37,6.99,-3.49,1.75,68.62,10.4761290322581
2018,1,105.8,0.88,-10.35,-4.73,50.85,11.2290322580645
2018,2,60.18,0.28,-11.96,-5.84,50.73,12.2425
