year,month,flow
1959,5,28.2993913148238
1959,6,26.3250806920353
1959,7,36.3388839260845
1959,8,38.7420032251738
1959,9,13.6854340705808
1959,10,77.5414869199094
1959,11,77.6835980689219
1959,12,79.4490780276421
1960,1,64.0294574016057
1960,2,98.8559924683134
1960,3,78.2794579583984
1960,4,131.673910295695
1960,5,65.5169571047881
1960,6,37.3902897260868
1960,7,54.1484945148427
1960,8,24.0648578202738
1960,9,67.6023902584018
1960,10,35.9007720117882
1960,11,28.2322168365206
1960,12,23.4461525351084
1961,1,17.5125304895793
1961,2,38.1650286794107
1961,3,137.761394648013
1961,4,121.358354373986
1961,5,63.3913006213146
1961,6,41.5187598622753
1961,7,25.8896878827818
1961,8,14.3096364474097
1961,9,10.534212462032
1961,10,9.06215725639874
1961,11,20.3827032155695
1961,12,26.8159538426513
1962,1,33.5827453716598
1962,2,43.082598049893
1962,3,113.399773884242
1962,4,66.6612712034523
1962,5,38.1653638243812
1962,6,17.638007997796
1962,7,9.4964215777005
1962,8,11.2338702961178
1962,9,19.003750160902
1962,10,33.578774879388
1962,11,30.8070582664401
1962,12,31.6292015518938
1963,1,35.2090144327763
1963,2,30.4501503693078
1963,3,140.834120513824
1963,4,57.3146304699137
1963,5,33.6682072732656
1963,6,30.3035145330855
1963,7,12.7529727055558
1963,8,10.8329363051662
1963,9,13.9116748431068
1963,10,7.07803722976007
1963,11,34.3711238173569
1963,12,26.3250872739829
1964,1,60.3632806891097
1964,2,56.1080093827665
1964,3,125.48546982971
1964,4,69.574522687026
1964,5,28.2191819310113
1964,6,13.2522074728031
1964,7,14.4234804676609
1964,8,14.8847468818558
1964,9,6.90464826083518
1964,10,5.92415293418339
1964,11,9.87570311217938
1964,12,19.4490658330709
1965,1,21.210529226838
1965,2,31.0973671383291
1965,3,72.3458767052924
1965,4,51.1819599715884
1965,5,27.527648021862
1965,6,15.3396905345947
1965,7,15.4228443582126
1965,8,16.7530945167262
1965,9,20.7703450717606
1965,10,21.3088171336868
1965,11,21.6224952380352
1965,12,26.0157965235993
1966,1,32.7347245417102
1966,2,48.7872358450289
1966,3,82.1630909920911
1966,4,39.8929621160976
1966,5,29.417801096206
1966,6,20.0884692614063
1966,7,34.6643921097619
1966,8,9.73830601972909
1966,9,27.2256828722629
1966,10,32.7122189371947
1966,11,40.7389188455305
1966,12,36.1501109890442
1967,1,36.0776892136118
1967,2,38.6156485744155
1967,3,64.8850080222236
1967,4,128.08349048119
1967,5,92.7892179194181
1967,6,56.2021363163245
1967,7,40.1470243366491
1967,8,19.2564728289162
1967,9,12.3837351938176
1967,10,19.0764601930573
1967,11,22.2454274145445
1967,12,55.0952618299774
1968,1,38.0566894396333
1968,2,32.654877704518
1968,3,100.507568279081
1968,4,61.311530790083
1968,5,56.2125530088377
1968,6,93.2908065535177
1968,7,17.9652993705319
1968,8,8.37743075579669
1968,9,14.5295975379793
1968,10,17.663043253183
1968,11,52.4950737318392
1968,12,67.242360171345
1969,1,50.7784967810938
1969,2,58.8804383323058
1969,3,92.7589652436843
1969,4,106.910985741669
1969,5,43.2532995082542
1969,6,34.1027043018231
1969,7,47.2325959337188
1969,8,32.3814264868643
1969,9,28.9152116567289
1969,10,17.3206499759687
1969,11,64.0883379774869
1969,12,84.7397141727898
1970,1,39.4754980997461
1970,2,70.6934445322003
1970,3,131.482163057546
1970,4,92.8031657551703
1970,5,69.6814919813096
1970,6,37.2456378741886
1970,7,16.6757588252786
1970,8,20.9470790683086
1970,9,14.7058993497359
1970,10,14.978799572813
1970,11,24.2610475746789
1970,12,32.5584810104257
1971,1,26.3456839223055
1971,2,55.0040539339063
1971,3,129.776473607109
1971,4,53.4247235285651
1971,5,52.9692100255646
1971,6,25.5221856071798
1971,7,19.0239725367443
1971,8,47.4588985552654
1971,9,25.2381440731948
1971,10,24.6444812534936
1971,11,42.4295005070713
1971,12,53.6339409336061
1972,1,47.4037196803115
1972,2,60.3166213974723
1972,3,119.528645293015
1972,4,136.315266313666
1972,5,125.523405058738
1972,6,135.705457242196
1972,7,38.4871174115834
1972,8,18.8692859008357
1972,9,10.3263716172876
1972,10,14.0312458505164
1972,11,84.3135819064998
1972,12,108.527343117281
1973,1,85.5048271519994
1973,2,64.6707579277134
1973,3,111.29517770527
1973,4,117.456969312545
1973,5,96.6726306222209
1973,6,77.1518056757282
1973,7,31.1876657543848
1973,8,25.2496249461302
1973,9,11.7488802104399
1973,10,15.9724530369768
1973,11,17.397407798898
1973,12,112.734802361726
1974,1,80.0980894548085
1974,2,60.7196560368148
1974,3,129.186361423672
1974,4,78.5344059142779
1974,5,64.4462502328049
1974,6,37.3391539606969
1974,7,27.6562679482294
1974,8,20.9079032974537
1974,9,52.511801821319
1974,10,24.9150241556392
1974,11,33.7725286450659
1974,12,47.7794487181637
1975,1,76.9064773955886
1975,2,75.6346214657984
1975,3,123.69675244809
1975,4,64.3639639607388
1975,5,46.5689816598757
1975,6,50.0186734930755
1975,7,96.6068176952314
1975,8,75.6811718127015
1975,9,98.7771973249715
1975,10,67.6753816124689
1975,11,74.4960133747467
1975,12,68.621816044202
1976,1,51.3488781565242
1976,2,93.9966261582715
1976,3,129.949144549115
1976,4,72.5734566296319
1976,5,64.7192151765776
1976,6,34.9805718565881
1976,7,19.2421727528169
1976,8,44.3645634115149
1976,9,21.3518903522612
1976,10,35.362378444212
1976,11,19.2322887773677
1976,12,18.6886107155119
